"","Term","Frequence","name"
"153","confirm",1,"AbrahamLincoln"
"155","conform",1,"AbrahamLincoln"
"159","consider",1,"AbrahamLincoln"
"160","consist",1,"AbrahamLincoln"
"161","constant",1,"AbrahamLincoln"
"163","constru",1,"AbrahamLincoln"
"164","contain",1,"AbrahamLincoln"
"167","contest",1,"AbrahamLincoln"
"173","convent",1,"AbrahamLincoln"
"174","correspond",1,"AbrahamLincoln"
"179","crime",1,"AbrahamLincoln"
"180","cure",1,"AbrahamLincoln"
"181","current",1,"AbrahamLincoln"
"182","custom",1,"AbrahamLincoln"
"183","dare",1,"AbrahamLincoln"
"184","day",1,"AbrahamLincoln"
"192","demand",1,"AbrahamLincoln"
"194","denounc",1,"AbrahamLincoln"
"196","departur",1,"AbrahamLincoln"
"198","deprec",1,"AbrahamLincoln"
"199","depriv",1,"AbrahamLincoln"
"200","deriv",1,"AbrahamLincoln"
"201","descend",1,"AbrahamLincoln"
"202","desir",1,"AbrahamLincoln"
"203","desper",1,"AbrahamLincoln"
"207","detail",1,"AbrahamLincoln"
"208","devot",1,"AbrahamLincoln"
"212","discern",1,"AbrahamLincoln"
"213","discharg",1,"AbrahamLincoln"
"214","discret",1,"AbrahamLincoln"
"215","discuss",1,"AbrahamLincoln"
"216","dismemb",1,"AbrahamLincoln"
"218","disrupt",1,"AbrahamLincoln"
"220","dissolv",1,"AbrahamLincoln"
"221","distinguish",1,"AbrahamLincoln"
"222","distribut",1,"AbrahamLincoln"
"223","disunion",1,"AbrahamLincoln"
"225","divin",1,"AbrahamLincoln"
"226","divorc",1,"AbrahamLincoln"
"227","document",1,"AbrahamLincoln"
"229","done",1,"AbrahamLincoln"
"231","dread",1,"AbrahamLincoln"
"232","dri",1,"AbrahamLincoln"
"233","drop",1,"AbrahamLincoln"
"235","durat",1,"AbrahamLincoln"
"238","easili",1,"AbrahamLincoln"
"239","educ",1,"AbrahamLincoln"
"241","effort",1,"AbrahamLincoln"
"242","eighth",1,"AbrahamLincoln"
"244","elect",1,"AbrahamLincoln"
"245","element",1,"AbrahamLincoln"
"246","els",1,"AbrahamLincoln"
"247","emin",1,"AbrahamLincoln"
"248","emphat",1,"AbrahamLincoln"
"249","encourag",1,"AbrahamLincoln"
"253","energi",1,"AbrahamLincoln"
"255","engag",1,"AbrahamLincoln"
"256","engross",1,"AbrahamLincoln"
"257","enjoin",1,"AbrahamLincoln"
"258","enlarg",1,"AbrahamLincoln"
"262","erron",1,"AbrahamLincoln"
"263","escap",1,"AbrahamLincoln"
"265","essenc",1,"AbrahamLincoln"
"266","essenti",1,"AbrahamLincoln"
"267","establish",1,"AbrahamLincoln"
"268","etern",1,"AbrahamLincoln"
"273","everywher",1,"AbrahamLincoln"
"276","exact",1,"AbrahamLincoln"
"277","except",1,"AbrahamLincoln"
"278","excit",1,"AbrahamLincoln"
"279","exclus",1,"AbrahamLincoln"
"282","exig",1,"AbrahamLincoln"
"284","expect",1,"AbrahamLincoln"
"285","experi",1,"AbrahamLincoln"
"286","expir",1,"AbrahamLincoln"
"291","extrem",1,"AbrahamLincoln"
"295","fair",1,"AbrahamLincoln"
"298","fault",1,"AbrahamLincoln"
"300","fear",1,"AbrahamLincoln"
"303","fervent",1,"AbrahamLincoln"
"304","fifteen",1,"AbrahamLincoln"
"305","fifti",1,"AbrahamLincoln"
"307","final",1,"AbrahamLincoln"
"309","finish",1,"AbrahamLincoln"
"312","fit",1,"AbrahamLincoln"
"315","folli",1,"AbrahamLincoln"
"317","fond",1,"AbrahamLincoln"
"319","forego",1,"AbrahamLincoln"
"321","foresight",1,"AbrahamLincoln"
"322","forev",1,"AbrahamLincoln"
"323","forget",1,"AbrahamLincoln"
"325","formid",1,"AbrahamLincoln"
"326","forsaken",1,"AbrahamLincoln"
"327","forth",1,"AbrahamLincoln"
"328","found",1,"AbrahamLincoln"
"331","fratern",1,"AbrahamLincoln"
"336","full",1,"AbrahamLincoln"
"339","furnish",1,"AbrahamLincoln"
"340","futur",1,"AbrahamLincoln"
"341","gain",1,"AbrahamLincoln"
"343","get",1,"AbrahamLincoln"
"346","glad",1,"AbrahamLincoln"
"351","gravest",1,"AbrahamLincoln"
"353","greater",1,"AbrahamLincoln"
"354","grow",1,"AbrahamLincoln"
"355","guarante",1,"AbrahamLincoln"
"356","guaranti",1,"AbrahamLincoln"
"358","happili",1,"AbrahamLincoln"
"359","harmoni",1,"AbrahamLincoln"
"360","hast",1,"AbrahamLincoln"
"361","hazard",1,"AbrahamLincoln"
"362","heart",1,"AbrahamLincoln"
"363","hearthston",1,"AbrahamLincoln"
"364","heaven",1,"AbrahamLincoln"
"366","henc",1,"AbrahamLincoln"
"367","heretofor",1,"AbrahamLincoln"
"369","histori",1,"AbrahamLincoln"
"373","hot",1,"AbrahamLincoln"
"376","hundr",1,"AbrahamLincoln"
"377","hurri",1,"AbrahamLincoln"
"378","husband",1,"AbrahamLincoln"
"379","hypercrit",1,"AbrahamLincoln"
"380","idea",1,"AbrahamLincoln"
"382","ignor",1,"AbrahamLincoln"
"384","immedi",1,"AbrahamLincoln"
"385","immun",1,"AbrahamLincoln"
"386","impass",1,"AbrahamLincoln"
"387","impend",1,"AbrahamLincoln"
"391","impost",1,"AbrahamLincoln"
"392","impractic",1,"AbrahamLincoln"
"393","impun",1,"AbrahamLincoln"
"394","inadmiss",1,"AbrahamLincoln"
"396","inclin",1,"AbrahamLincoln"
"397","includ",1,"AbrahamLincoln"
"398","incom",1,"AbrahamLincoln"
"399","inde",1,"AbrahamLincoln"
"400","independ",1,"AbrahamLincoln"
"401","indic",1,"AbrahamLincoln"
"402","indirect",1,"AbrahamLincoln"
"403","individu",1,"AbrahamLincoln"
"404","inhabit",1,"AbrahamLincoln"
"405","injur",1,"AbrahamLincoln"
"406","inspect",1,"AbrahamLincoln"
"408","instant",1,"AbrahamLincoln"
"409","instead",1,"AbrahamLincoln"
"413","insurrectionari",1,"AbrahamLincoln"
"414","intellig",1,"AbrahamLincoln"
"415","intend",1,"AbrahamLincoln"
"416","intent",1,"AbrahamLincoln"
"420","interior",1,"AbrahamLincoln"
"421","interv",1,"AbrahamLincoln"
"422","introduc",1,"AbrahamLincoln"
"424","inviol",1,"AbrahamLincoln"
"425","invok",1,"AbrahamLincoln"
"427","irrit",1,"AbrahamLincoln"
"428","issu",1,"AbrahamLincoln"
"431","jurisprud",1,"AbrahamLincoln"
"434","justifi",1,"AbrahamLincoln"
"435","keep",1,"AbrahamLincoln"
"436","kept",1,"AbrahamLincoln"
"437","knew",1,"AbrahamLincoln"
"438","knowledg",1,"AbrahamLincoln"
"442","lash",1,"AbrahamLincoln"
"443","last",1,"AbrahamLincoln"
"445","lawgiv",1,"AbrahamLincoln"
"446","lawless",1,"AbrahamLincoln"
"447","left",1,"AbrahamLincoln"
"449","length",1,"AbrahamLincoln"
"452","liberti",1,"AbrahamLincoln"
"454","litig",1,"AbrahamLincoln"
"457","loath",1,"AbrahamLincoln"
"459","look",1,"AbrahamLincoln"
"460","lord",1,"AbrahamLincoln"
"461","loss",1,"AbrahamLincoln"
"463","love",1,"AbrahamLincoln"
"465","magistr",1,"AbrahamLincoln"
"466","magnitud",1,"AbrahamLincoln"
"467","mail",1,"AbrahamLincoln"
"469","mainten",1,"AbrahamLincoln"
"472","malic",1,"AbrahamLincoln"
"475","manner",1,"AbrahamLincoln"
"476","master",1,"AbrahamLincoln"
"477","materi",1,"AbrahamLincoln"
"482","member",1,"AbrahamLincoln"
"486","mental",1,"AbrahamLincoln"
"489","mighti",1,"AbrahamLincoln"
"490","mind",1,"AbrahamLincoln"
"491","mine",1,"AbrahamLincoln"
"493","mischief",1,"AbrahamLincoln"
"494","misconstruct",1,"AbrahamLincoln"
"495","mistak",1,"AbrahamLincoln"
"497","modif",1,"AbrahamLincoln"
"498","moment",1,"AbrahamLincoln"
"500","motion",1,"AbrahamLincoln"
"503","mystic",1,"AbrahamLincoln"
"507","necess",1,"AbrahamLincoln"
"510","negat",1,"AbrahamLincoln"
"511","negoti",1,"AbrahamLincoln"
"515","nomin",1,"AbrahamLincoln"
"520","number",1,"AbrahamLincoln"
"523","oblig",1,"AbrahamLincoln"
"524","obnoxi",1,"AbrahamLincoln"
"525","obvious",1,"AbrahamLincoln"
"527","occupi",1,"AbrahamLincoln"
"528","occur",1,"AbrahamLincoln"
"533","older",1,"AbrahamLincoln"
"535","open",1,"AbrahamLincoln"
"537","opportun",1,"AbrahamLincoln"
"538","oppos",1,"AbrahamLincoln"
"539","ordain",1,"AbrahamLincoln"
"540","order",1,"AbrahamLincoln"
"541","ordin",1,"AbrahamLincoln"
"542","ordinari",1,"AbrahamLincoln"
"545","orphan",1,"AbrahamLincoln"
"547","overrul",1,"AbrahamLincoln"
"548","overthrow",1,"AbrahamLincoln"
"549","paid",1,"AbrahamLincoln"
"550","parallel",1,"AbrahamLincoln"
"553","partial",1,"AbrahamLincoln"
"556","passion",1,"AbrahamLincoln"
"557","patient",1,"AbrahamLincoln"
"560","peaceabl",1,"AbrahamLincoln"
"564","perform",1,"AbrahamLincoln"
"565","perhap",1,"AbrahamLincoln"
"566","peril",1,"AbrahamLincoln"
"567","period",1,"AbrahamLincoln"
"568","perish",1,"AbrahamLincoln"
"569","perman",1,"AbrahamLincoln"
"570","permit",1,"AbrahamLincoln"
"573","phase",1,"AbrahamLincoln"
"574","physic",1,"AbrahamLincoln"
"575","pile",1,"AbrahamLincoln"
"578","platform",1,"AbrahamLincoln"
"579","plight",1,"AbrahamLincoln"
"581","polici",1,"AbrahamLincoln"
"583","popul",1,"AbrahamLincoln"
"584","popular",1,"AbrahamLincoln"
"586","posit",1,"AbrahamLincoln"
"587","possess",1,"AbrahamLincoln"
"592","prayer",1,"AbrahamLincoln"
"594","precipit",1,"AbrahamLincoln"
"596","predict",1,"AbrahamLincoln"
"597","prefer",1,"AbrahamLincoln"
"601","preserv",1,"AbrahamLincoln"
"603","presidenti",1,"AbrahamLincoln"
"604","press",1,"AbrahamLincoln"
"606","prevail",1,"AbrahamLincoln"
"609","privat",1,"AbrahamLincoln"
"610","privileg",1,"AbrahamLincoln"
"611","produc",1,"AbrahamLincoln"
"612","profess",1,"AbrahamLincoln"
"613","progress",1,"AbrahamLincoln"
"617","propos",1,"AbrahamLincoln"
"623","publish",1,"AbrahamLincoln"
"625","pursu",1,"AbrahamLincoln"
"627","quot",1,"AbrahamLincoln"
"632","realli",1,"AbrahamLincoln"
"634","recant",1,"AbrahamLincoln"
"635","reclaim",1,"AbrahamLincoln"
"636","recogn",1,"AbrahamLincoln"
"637","recommend",1,"AbrahamLincoln"
"638","refer",1,"AbrahamLincoln"
"639","reflect",1,"AbrahamLincoln"
"642","regist",1,"AbrahamLincoln"
"643","regul",1,"AbrahamLincoln"
"644","reiter",1,"AbrahamLincoln"
"646","relianc",1,"AbrahamLincoln"
"647","remain",1,"AbrahamLincoln"
"649","rend",1,"AbrahamLincoln"
"650","renew",1,"AbrahamLincoln"
"651","repel",1,"AbrahamLincoln"
"652","republican",1,"AbrahamLincoln"
"653","requir",1,"AbrahamLincoln"
"654","requisit",1,"AbrahamLincoln"
"655","rescind",1,"AbrahamLincoln"
"656","reserv",1,"AbrahamLincoln"
"657","resid",1,"AbrahamLincoln"
"658","resign",1,"AbrahamLincoln"
"659","resolut",1,"AbrahamLincoln"
"662","restor",1,"AbrahamLincoln"
"663","restraint",1,"AbrahamLincoln"
"665","result",1,"AbrahamLincoln"
"666","retain",1,"AbrahamLincoln"
"667","return",1,"AbrahamLincoln"
"668","reviv",1,"AbrahamLincoln"
"669","revolut",1,"AbrahamLincoln"
"672","righteous",1,"AbrahamLincoln"
"673","risk",1,"AbrahamLincoln"
"674","ruin",1,"AbrahamLincoln"
"677","safe",1,"AbrahamLincoln"
"678","safeguard",1,"AbrahamLincoln"
"679","safer",1,"AbrahamLincoln"
"682","save",1,"AbrahamLincoln"
"684","scarc",1,"AbrahamLincoln"
"685","scope",1,"AbrahamLincoln"
"686","scourg",1,"AbrahamLincoln"
"689","second",1,"AbrahamLincoln"
"692","see",1,"AbrahamLincoln"
"695","seen",1,"AbrahamLincoln"
"697","sensit",1,"AbrahamLincoln"
"700","serious",1,"AbrahamLincoln"
"701","servant",1,"AbrahamLincoln"
"703","seventi",1,"AbrahamLincoln"
"704","sever",1,"AbrahamLincoln"
"707","show",1,"AbrahamLincoln"
"708","shrink",1,"AbrahamLincoln"
"710","similar",1,"AbrahamLincoln"
"711","simpl",1,"AbrahamLincoln"
"712","sinc",1,"AbrahamLincoln"
"716","soil",1,"AbrahamLincoln"
"717","solemn",1,"AbrahamLincoln"
"718","solut",1,"AbrahamLincoln"
"719","somehow",1,"AbrahamLincoln"
"720","somewhat",1,"AbrahamLincoln"
"721","sought",1,"AbrahamLincoln"
"724","sovereign",1,"AbrahamLincoln"
"725","space",1,"AbrahamLincoln"
"727","special",1,"AbrahamLincoln"
"728","specif",1,"AbrahamLincoln"
"729","specifi",1,"AbrahamLincoln"
"731","speedili",1,"AbrahamLincoln"
"732","spring",1,"AbrahamLincoln"
"733","stand",1,"AbrahamLincoln"
"735","statement",1,"AbrahamLincoln"
"736","station",1,"AbrahamLincoln"
"739","strain",1,"AbrahamLincoln"
"740","strang",1,"AbrahamLincoln"
"741","stranger",1,"AbrahamLincoln"
"742","strengthen",1,"AbrahamLincoln"
"743","stretch",1,"AbrahamLincoln"
"744","strict",1,"AbrahamLincoln"
"745","strive",1,"AbrahamLincoln"
"747","substanti",1,"AbrahamLincoln"
"749","successor",1,"AbrahamLincoln"
"750","suggest",1,"AbrahamLincoln"
"752","sunk",1,"AbrahamLincoln"
"759","surviv",1,"AbrahamLincoln"
"760","suscept",1,"AbrahamLincoln"
"761","swear",1,"AbrahamLincoln"
"762","sweat",1,"AbrahamLincoln"
"763","swell",1,"AbrahamLincoln"
"764","sword",1,"AbrahamLincoln"
"765","sympathi",1,"AbrahamLincoln"
"767","taken",1,"AbrahamLincoln"
"768","task",1,"AbrahamLincoln"
"771","termin",1,"AbrahamLincoln"
"772","terribl",1,"AbrahamLincoln"
"774","therefor",1,"AbrahamLincoln"
"776","thereof",1,"AbrahamLincoln"
"778","thirteen",1,"AbrahamLincoln"
"779","though",1,"AbrahamLincoln"
"781","thousand",1,"AbrahamLincoln"
"782","three",1,"AbrahamLincoln"
"784","toil",1,"AbrahamLincoln"
"785","touch",1,"AbrahamLincoln"
"786","toward",1,"AbrahamLincoln"
"788","transmit",1,"AbrahamLincoln"
"791","triumph",1,"AbrahamLincoln"
"792","troubl",1,"AbrahamLincoln"
"800","unbroken",1,"AbrahamLincoln"
"801","unconstitut",1,"AbrahamLincoln"
"802","understand",1,"AbrahamLincoln"
"807","unkept",1,"AbrahamLincoln"
"809","unmad",1,"AbrahamLincoln"
"810","unrep",1,"AbrahamLincoln"
"811","unrequit",1,"AbrahamLincoln"
"812","unsubstanti",1,"AbrahamLincoln"
"813","unto",1,"AbrahamLincoln"
"816","valuabl",1,"AbrahamLincoln"
"819","vigil",1,"AbrahamLincoln"
"822","virtu",1,"AbrahamLincoln"
"824","void",1,"AbrahamLincoln"
"825","wall",1,"AbrahamLincoln"
"827","way",1,"AbrahamLincoln"
"828","wealth",1,"AbrahamLincoln"
"829","weari",1,"AbrahamLincoln"
"831","whatev",1,"AbrahamLincoln"
"833","whether",1,"AbrahamLincoln"
"834","whoever",1,"AbrahamLincoln"
"836","wholli",1,"AbrahamLincoln"
"837","whose",1,"AbrahamLincoln"
"838","wicked",1,"AbrahamLincoln"
"839","widow",1,"AbrahamLincoln"
"840","wife",1,"AbrahamLincoln"
"842","wisdom",1,"AbrahamLincoln"
"844","wish",1,"AbrahamLincoln"
"845","withal",1,"AbrahamLincoln"
"846","withhold",1,"AbrahamLincoln"
"850","word",1,"AbrahamLincoln"
"851","work",1,"AbrahamLincoln"
"853","wors",1,"AbrahamLincoln"
"854","worthi",1,"AbrahamLincoln"
"855","wound",1,"AbrahamLincoln"
"856","wring",1,"AbrahamLincoln"
"858","wrong",1,"AbrahamLincoln"
"1100","abid",2,"AbrahamLincoln"
"12","add",2,"AbrahamLincoln"
"15","administ",2,"AbrahamLincoln"
"20","affirm",2,"AbrahamLincoln"
"24","ago",2,"AbrahamLincoln"
"26","alien",2,"AbrahamLincoln"
"28","almighti",2,"AbrahamLincoln"
"30","also",2,"AbrahamLincoln"
"32","altogeth",2,"AbrahamLincoln"
"42","answer",2,"AbrahamLincoln"
"43","anticip",2,"AbrahamLincoln"
"48","appear",2,"AbrahamLincoln"
"51","apprehens",2,"AbrahamLincoln"
"54","arm",2,"AbrahamLincoln"
"56","articl",2,"AbrahamLincoln"
"64","associ",2,"AbrahamLincoln"
"70","attent",2,"AbrahamLincoln"
"83","belong",2,"AbrahamLincoln"
"85","best",2,"AbrahamLincoln"
"87","beyond",2,"AbrahamLincoln"
"89","bind",2,"AbrahamLincoln"
"95","born",2,"AbrahamLincoln"
"104","call",2,"AbrahamLincoln"
"105","calm",2,"AbrahamLincoln"
"109","care",2,"AbrahamLincoln"
"114","certain",2,"AbrahamLincoln"
"119","cheer",2,"AbrahamLincoln"
"120","cherish",2,"AbrahamLincoln"
"123","choos",2,"AbrahamLincoln"
"135","clear",2,"AbrahamLincoln"
"143","compet",2,"AbrahamLincoln"
"152","confid",2,"AbrahamLincoln"
"157","consequ",2,"AbrahamLincoln"
"158","consid",2,"AbrahamLincoln"
"165","contempl",2,"AbrahamLincoln"
"166","content",2,"AbrahamLincoln"
"170","contrari",2,"AbrahamLincoln"
"171","control",2,"AbrahamLincoln"
"177","cours",2,"AbrahamLincoln"
"185","decid",2,"AbrahamLincoln"
"188","deem",2,"AbrahamLincoln"
"189","defend",2,"AbrahamLincoln"
"190","deliber",2,"AbrahamLincoln"
"195","depart",2,"AbrahamLincoln"
"197","depend",2,"AbrahamLincoln"
"204","despot",2,"AbrahamLincoln"
"206","destruct",2,"AbrahamLincoln"
"210","difficulti",2,"AbrahamLincoln"
"217","disput",2,"AbrahamLincoln"
"228","domest",2,"AbrahamLincoln"
"230","drawn",2,"AbrahamLincoln"
"234","due",2,"AbrahamLincoln"
"237","easier",2,"AbrahamLincoln"
"250","endang",2,"AbrahamLincoln"
"251","endur",2,"AbrahamLincoln"
"252","enemi",2,"AbrahamLincoln"
"260","entitl",2,"AbrahamLincoln"
"264","especi",2,"AbrahamLincoln"
"269","even",2,"AbrahamLincoln"
"270","event",2,"AbrahamLincoln"
"274","evid",2,"AbrahamLincoln"
"275","evil",2,"AbrahamLincoln"
"290","extent",2,"AbrahamLincoln"
"292","fabric",2,"AbrahamLincoln"
"294","fact",2,"AbrahamLincoln"
"306","fight",2,"AbrahamLincoln"
"308","find",2,"AbrahamLincoln"
"310","firm",2,"AbrahamLincoln"
"311","first",2,"AbrahamLincoln"
"313","fix",2,"AbrahamLincoln"
"320","foreign",2,"AbrahamLincoln"
"332","free",2,"AbrahamLincoln"
"334","frustrat",2,"AbrahamLincoln"
"337","fulli",2,"AbrahamLincoln"
"338","fundament",2,"AbrahamLincoln"
"344","give",2,"AbrahamLincoln"
"350","grave",2,"AbrahamLincoln"
"368","high",2,"AbrahamLincoln"
"372","hostil",2,"AbrahamLincoln"
"374","howev",2,"AbrahamLincoln"
"375","human",2,"AbrahamLincoln"
"381","ident",2,"AbrahamLincoln"
"383","ill",2,"AbrahamLincoln"
"388","imperfect",2,"AbrahamLincoln"
"389","impli",2,"AbrahamLincoln"
"390","imposs",2,"AbrahamLincoln"
"395","inaugur",2,"AbrahamLincoln"
"407","instanc",2,"AbrahamLincoln"
"411","instrument",2,"AbrahamLincoln"
"412","insurg",2,"AbrahamLincoln"
"419","interfer",2,"AbrahamLincoln"
"423","invas",2,"AbrahamLincoln"
"426","irrevoc",2,"AbrahamLincoln"
"432","just",2,"AbrahamLincoln"
"439","known",2,"AbrahamLincoln"
"441","land",2,"AbrahamLincoln"
"453","limit",2,"AbrahamLincoln"
"458","local",2,"AbrahamLincoln"
"462","lost",2,"AbrahamLincoln"
"468","maintain",2,"AbrahamLincoln"
"473","man",2,"AbrahamLincoln"
"479","matur",2,"AbrahamLincoln"
"481","mean",2,"AbrahamLincoln"
"483","memori",2,"AbrahamLincoln"
"484","men",2,"AbrahamLincoln"
"485","menac",2,"AbrahamLincoln"
"496","mode",2,"AbrahamLincoln"
"499","moral",2,"AbrahamLincoln"
"505","natur",2,"AbrahamLincoln"
"508","necessari",2,"AbrahamLincoln"
"517","north",2,"AbrahamLincoln"
"518","noth",2,"AbrahamLincoln"
"526","occas",2,"AbrahamLincoln"
"531","offici",2,"AbrahamLincoln"
"536","opinion",2,"AbrahamLincoln"
"543","organ",2,"AbrahamLincoln"
"544","origin",2,"AbrahamLincoln"
"561","peculiar",2,"AbrahamLincoln"
"582","polit",2,"AbrahamLincoln"
"591","pray",2,"AbrahamLincoln"
"598","prescrib",2,"AbrahamLincoln"
"599","presenc",2,"AbrahamLincoln"
"602","presid",2,"AbrahamLincoln"
"605","pretext",2,"AbrahamLincoln"
"607","prevent",2,"AbrahamLincoln"
"608","principl",2,"AbrahamLincoln"
"614","prohibit",2,"AbrahamLincoln"
"629","reach",2,"AbrahamLincoln"
"631","real",2,"AbrahamLincoln"
"640","refus",2,"AbrahamLincoln"
"641","regard",2,"AbrahamLincoln"
"648","remov",2,"AbrahamLincoln"
"660","resolv",2,"AbrahamLincoln"
"661","respect",2,"AbrahamLincoln"
"664","restrict",2,"AbrahamLincoln"
"670","revolutionari",2,"AbrahamLincoln"
"675","rule",2,"AbrahamLincoln"
"676","ruler",2,"AbrahamLincoln"
"681","satisfactori",2,"AbrahamLincoln"
"688","secess",2,"AbrahamLincoln"
"696","sens",2,"AbrahamLincoln"
"706","short",2,"AbrahamLincoln"
"713","singl",2,"AbrahamLincoln"
"722","south",2,"AbrahamLincoln"
"723","southern",2,"AbrahamLincoln"
"730","speech",2,"AbrahamLincoln"
"737","step",2,"AbrahamLincoln"
"748","success",2,"AbrahamLincoln"
"751","suit",2,"AbrahamLincoln"
"753","support",2,"AbrahamLincoln"
"754","suppos",2,"AbrahamLincoln"
"755","suppress",2,"AbrahamLincoln"
"756","suprem",2,"AbrahamLincoln"
"769","temper",2,"AbrahamLincoln"
"775","therein",2,"AbrahamLincoln"
"780","thought",2,"AbrahamLincoln"
"787","trade",2,"AbrahamLincoln"
"789","treati",2,"AbrahamLincoln"
"790","tribun",2,"AbrahamLincoln"
"795","truth",2,"AbrahamLincoln"
"796","turn",2,"AbrahamLincoln"
"798","ultim",2,"AbrahamLincoln"
"803","unimpair",2,"AbrahamLincoln"
"806","univers",2,"AbrahamLincoln"
"817","ventur",2,"AbrahamLincoln"
"820","violat",2,"AbrahamLincoln"
"821","violenc",2,"AbrahamLincoln"
"832","whenev",2,"AbrahamLincoln"
"847","within",2,"AbrahamLincoln"
"852","world",2,"AbrahamLincoln"
"4","accept",3,"AbrahamLincoln"
"6","accord",3,"AbrahamLincoln"
"8","acquiesc",3,"AbrahamLincoln"
"10","action",3,"AbrahamLincoln"
"19","affect",3,"AbrahamLincoln"
"33","alway",3,"AbrahamLincoln"
"35","american",3,"AbrahamLincoln"
"39","anarchi",3,"AbrahamLincoln"
"69","attempt",3,"AbrahamLincoln"
"98","break",3,"AbrahamLincoln"
"106","came",3,"AbrahamLincoln"
"128","circumst",3,"AbrahamLincoln"
"131","civil",3,"AbrahamLincoln"
"132","claim",3,"AbrahamLincoln"
"139","come",3,"AbrahamLincoln"
"154","conflict",3,"AbrahamLincoln"
"169","contract",3,"AbrahamLincoln"
"175","countri",3,"AbrahamLincoln"
"176","countrymen",3,"AbrahamLincoln"
"178","court",3,"AbrahamLincoln"
"211","direct",3,"AbrahamLincoln"
"219","dissatisfi",3,"AbrahamLincoln"
"224","divid",3,"AbrahamLincoln"
"259","enter",3,"AbrahamLincoln"
"261","equal",3,"AbrahamLincoln"
"293","face",3,"AbrahamLincoln"
"297","far",3,"AbrahamLincoln"
"299","favor",3,"AbrahamLincoln"
"301","feder",3,"AbrahamLincoln"
"302","fellow",3,"AbrahamLincoln"
